year,st_case,month,day,hour,lat,lon,fatals,tway_id,tway_id2,dist_to_sh361_m,cityname
2014,480657,3,16,1,27.64657778,-97.19423889,1,SR-361,,1,
2014,482039,4,12,21,27.82219722,-97.07166667,1,SR-361 ALISTER ST,,2898,
2014,482394,10,12,14,27.82479444,-97.06986667,1,SR-361 ALISTER ST,,3235,
2014,483021,12,6,2,27.62320556,-97.22171944,1,PR 22/PADRE ISLAND DR,,587,
2015,481150,4,24,2,27.60213056,-97.22935,1,WHITECAP BLVD,,1892,
2015,480988,5,1,1,27.604075,-97.22225278,1,PR 22 PADRE ISLAND DR,,1528,
2015,480918,5,3,17,27.77764444,-97.10595833,1,SR-361,,5,
2015,482289,10,2,2,27.83116944,-97.07116667,1,SR-361,,3789,
2015,483217,12,14,7,27.62365278,-97.22156389,1,PR-22 PADRE ISLAND DR,VERDEMAR DR,637,
2016,480080,1,13,17,27.77894167,-97.10515,1,SR-361,,0,PORT ARANSAS
2017,480672,3,24,22,27.82057778,-97.06723056,1,ELEVENTH ST,,3021,PORT ARANSAS
2017,481428,6,15,0,27.65653611,-97.25828333,1,PR-22 S PADRE ISLAND DR,,5580,CORPUS CHRISTI
2018,480668,3,17,2,27.76059167,-97.11749444,1,SR-361,,2,PORT ARANSAS
2019,480201,1,25,2,27.71554444,-97.14784444,1,SR-361,SEA WAY DRIVE,0,CORPUS CHRISTI
2020,482533,10,3,21,27.63225556,-97.23354167,1,PR 22/ SOUTH PADRE ISLAND DR,RAMP,1961,CORPUS CHRISTI
2020,483498,12,28,16,27.62449722,-97.221725,1,PR 22 S PADRE ISLAND DR,,730,CORPUS CHRISTI
2021,482447,8,13,23,27.60204444,-97.22421389,1,WHITECAP BLVD,,1767,CORPUS CHRISTI
2021,482963,9,18,3,27.60266111,-97.24835556,1,WHITECAP BLVD,,3108,CORPUS CHRISTI
2022,481797,6,16,7,27.76998889,-97.11116111,1,SR-361,,2,PORT ARANSAS
2022,482404,8,13,23,27.704325,-97.15537778,2,SR-361,,3,CORPUS CHRISTI
2023,481885,6,30,20,27.74759722,-97.12624722,1,SR-361,,3,CORPUS CHRISTI
2023,481869,7,3,20,27.71836667,-97.145875,1,SR-361,,8,CORPUS CHRISTI
2023,482316,8,7,2,27.65562778,-97.25724167,1,PR 22/PADRE ISLAND DR,,5437,CORPUS CHRISTI
2023,483309,11,2,7,27.68217778,-97.17037778,1,SR-361,,6,CORPUS CHRISTI
2024,481019,3,30,22,27.58816389,-97.22347222,1,PR 22,,3290,CORPUS CHRISTI
2024,481443,5,14,18,27.73018333,-97.13808889,2,SR-361,,7,CORPUS CHRISTI
2024,482234,8,9,20,27.66339722,-97.18291944,1,SR-361,,3,CORPUS CHRISTI
